pmcid,paper_type,vaccine_name,vaccine_name_generated,vaccine_target_pathogen,vaccine_target_host,vaccine_model_host,vaccine_delivery_method,vaccine_manufacturer,vaccine_storage_method,vaccine_stage,vaccine_license,vaccine_antigen,vaccine_formulation,vaccine_gene
PMC421541,full_text,"Brucella abortus B19S, B19R, and PB preparations",False,Brucella abortus,,mice,injection,,,research,,surface antigenicity of inactivated Brucella,inactivated Brucella preparations (agglutinogenic and non-agglutinogenic),
PMC252393,full_text,,False,Brucella abortus,,rabbit,,,,,,,,
PMC1421592,full_text,,False,Brucella abortus,,mouse,liposome-encapsulated antigens (multilamellar vesicles),,,research,,lipopolysaccharide (LPS) and O-polysaccharide (OPS) antigens,liposome-encapsulated LPS and OPS,
PMC7130711,full_text,,False,,,,,,,,,,,
PMC1578786,full_text,,False,,,,,,,,,,,
PMC258774,full_text,Salmonella typhimurium chi 4064(pBA31-R7) oral vaccine,True,Brucella abortus,,BALB/cByJ mice,oral,,,research,,31-kilodalton protein of Brucella abortus (BCSP31),attenuated Salmonella typhimurium chi 4064 (delta cya delta crp mutant) carrying plasmid pBA31-R7,pBA31-R7
PMC260965,full_text,,False,Brucella abortus,Bovine,Bovine,,,,research,,phagocytized bacterial components of Brucella abortus,,
PMC12572658,full_text,Razi Institute fowlpox vaccine,False,Fowlpox virus,Chicken,Specific Pathogen Free Chickens,Injection in the wing,Razi Vaccine and Serum Research Institute,,licensed,,,,
PMC258117,full_text,Salmonella typhimurium chi 4064(pBA31-R7),False,Brucella abortus,swine,swine,oral,,,research,,31-kDa protein of Brucella abortus (BCSP31),attenuated Salmonella typhimurium chi 4064 carrying plasmid pBA31-R7,pBA31-R7 (codes for BCSP31)
PMC189041,full_text,gp120(SF2)-Brucella abortus conjugate and V3-Brucella abortus conjugate,True,Human immunodeficiency virus type 1 (HIV-1),Human,BALB/c mice,,,,research,,"gp120 from HIV-1 SF2, V3 loop peptide homologous to HIV-1 MN",Heat-inactivated Brucella abortus conjugated with gp120 or V3 loop peptide,
PMC5122580,full_text,Δ clpB mutant of Francisella tularensis SCHU S4,False,Francisella tularensis,human,"mouse (Balb/c, C57BL/6), rat, rabbit, non-human primate",subcutaneous,,,research,,Δ clpB mutant (attenuated live bacterium),live attenuated bacterial vaccine,clpB gene deletion
PMC10657940,full_text,RB51,False,Brucella melitensis,dairy cattle,,,Razi Vaccine and Serum Research Institute,,licensed,,,,
PMC1646895,full_text,Brucella melitensis Rev-1,False,Brucella melitensis,"sheep, goats",,,,,licensed,,attenuated Brucella melitensis,,
PMC4962264,full_text,Prevenar13,False,Streptococcus pneumoniae,human,,intramuscular injection,,,licensed,national immunization plan in Israel,pneumococcal polysaccharide conjugated to carrier protein (13 serotypes),conjugate vaccine,
PMC3203185,full_text,T. theileri-Bd37 antigen delivery system,True,Babesia divergens,cattle,cattle,intravenous inoculation of engineered T. theileri parasites,,,research,,Bd37 protein,"Live, genetically engineered T. theileri expressing Bd37 antigen (internal, surface, or secreted forms)",Bd37 gene
PMC228859,full_text,Brucella abortus RB51,False,Brucella abortus,"cattle, bison, elk",,,"Brucellosis Research Unit, National Animal Disease Center, Agricultural Research Service, Ames, Iowa, USA",,licensed,,"rough B. abortus biovar 1 (not strain 19), no O antigen, agglutinated with R antiserum",,
PMC174517,full_text,Brucella melitensis LPS-GBOMP complex mucosal vaccine,True,Brucella melitensis,,"mouse, guinea pig",intranasal,,,research,,lipopolysaccharide (LPS) of Brucella melitensis,LPS of Brucella melitensis complexed with outer membrane protein (GBOMP) of group B Neisseria meningitidis,
PMC6602290,full_text,Brucella abortus S19,False,Brucella abortus,Cattle,Cattle,Subcutaneous or conjunctival,,,,,Smooth lipopolysaccharide (S-LPS),Live attenuated vaccine,
PMC1255253,full_text,,False,Brucella abortus,cattle,,,,,,,,,
PMC6126018,full_text,B. ovis PA Tn7 Ba2308W CAII,False,Brucella ovis,sheep,mouse (BALB/c),,,stored in skimmed milk or TYSB-DMSO at −80 °C,research,,R-type lipopolysaccharides (R-LPS) and outer membrane proteins,live attenuated strain with chromosomal insertion of functional CAII gene (from B. abortus 2308W) via Tn7 transposon,CAII (carbonic anhydrase II) from B. abortus 2308W
PMC3417515,full_text,,False,"Brucella spp. (including B. melitensis, B. abortus, B. suis)",Humans,"Mice, cattle, goats",,,,research,,"Bp26 (periplasmic immunogenic protein), Trigger Factor (chaperone protein), outer membrane lipoproteins (Omp10, Omp16, Omp19), VirB8 (Type IV secretion system protein), Cu–Zn superoxide dismutase, and other Brucella protein epitopes identified by systems biology analyses","Recombinant protein antigens (potential, not yet formulated for human use)","BMEI0536 (bp26), BMEII1048 (60 kDa chaperonin), BMEII0032 (VirB8), BMEI0340 (omp16), BMEII0017 (omp10), BMEI0135 (omp19), and other Brucella genes encoding immunogenic proteins"
PMC257181,full_text,Brucella abortus S19 vaccine,True,Brucella abortus,cattle,bovine,,,,research,,12-kDa and 31-kDa immunogenic proteins,,
PMC368229,full_text,,False,Brucella abortus,bovine,mouse,,,,research,,"lipopolysaccharide (LPS) epitopes: O-polysaccharide (A and C/Y), core oligosaccharide (R1 and R2), lipid A (LA1, LA2, LA3), lipid A-associated outer membrane protein (LAOmp3-1 and LAOmp3-2)",,
PMC8219583,full_text,Brucella abortus S19 ΔmglA (mglA deletion mutant),False,Brucella abortus,Cattle,Murine splenic macrophage cell line CRL2471 (mouse),,,Stored at −80°C,research,,Live attenuated Brucella abortus S19 with mglA gene deletion,Live attenuated bacterial vaccine (ΔmglA mutant),"mglA (ABC transporter, stress response and detoxification gene, deleted in mutant)"
PMC3689767,full_text,B. abortus S19,False,Brucella abortus,"Bovine (cattle), potential for human use","Human dendritic cells (in vitro), mice, non-human primates",Live attenuated bacterial vector; infection of dendritic cells; heat-inactivated bacteria also used,,Frozen at -70°C; inactivated bacteria stored at -60 to -80°C,research,,"Brucella abortus S19 antigens; potential for exogenous antigens (e.g., Neospora caninum MIC1 and GRA6)",Live attenuated or heat-inactivated B. abortus S19; bacterial suspension in tryptic soy broth,
PMC7799404,full_text,Brucella Outer Membrane Vesicle (OMV) Vaccine,True,"Brucella species (B. suis, B. ovis, B. canis, B. neotomae)","Humans and animals (notably livestock such as cattle, sheep, goats, swine, and dogs)",Mice (for immunogenicity and protection studies),"Purified OMVs administered (likely via injection, as per animal immunization protocols)",,OMV samples stored in 0.5 mL aliquots at −20°C until use,research,,"Outer membrane vesicles containing proteins such as Omp16, Omp25, Omp31, SodC, BhuA, catalase, and other orthologous and antigenic proteins","Purified outer membrane vesicles (OMVs) from Brucella species, suspended in sterile phosphate-buffered saline (PBS)","Genes encoding OMV proteins, including omp16, omp25, omp31, sodC, bhuA, and others identified in the OMV proteome"
PMC9856995,full_text,,True,Brucella abortus (Brucella spp.),"Cattle, livestock, humans",BALB/c mice,Peptide-based (potential for nanoparticle delivery),,,research,,"MHC-binding peptides from Brucella proteins (e.g., AtpD, LeuB, MutS, BAbS19_II02030, BAbS19_II10850)",Peptide-based subunit vaccine (candidate antigenic peptides identified by proteomics and immunoinformatics),"atpD, leuB, mutS, BAbS19_II02030, BAbS19_II10850"
PMC3889589,full_text,,False,Brucella species,"sheep, goats, beef cattle, humans","sheep, goats, beef cattle",,,,,,BP26 protein,,BP26
PMC3008527,full_text,,False,"Brucella (Brucella abortus, Brucella melitensis, Brucella suis, Brucella ovis, Brucella canis)",,,,,,,,O-polysaccharide of lipopolysaccharide,,"wboA, wboB"
PMC6219203,full_text,S19,False,Brucella,buffalo,,injection,,,,,,,
PMC2134148,full_text,Brucella abortus strain 19 and strain 45/20 vaccines,False,Brucella abortus,Cattle,Cattle,,,,licensed,,,,
PMC3311636,full_text,Brucella melitensis M5-90,False,Brucella melitensis,"sheep, goats","mouse (for monoclonal antibody production), sheep (for serological testing)",subcutaneous and intraperitoneal injection (in mice); not explicitly stated for sheep/goats,,,licensed,Licensed for use in China for sheep and goats,"BP26 (periplasmic protein), native BP26 containing membrane proteins (NMP)","Live attenuated B. melitensis M5-90 strain; recombinant BP26 protein; synthetic peptides (P11-KLH, P12'-KLH)",bp26
PMC3204967,full_text,B.abortus RB51,False,Brucella abortus,Cattle,"New Zealand white rabbits, mice",Subcutaneous injection,"Cooper-Zeltia Veterinaria, SA, Spain",,licensed,,Rough Brucella abortus RB51 whole cells (lacking O-polysaccharide),Live attenuated rough mutant strain,"IS711 insertion in wboA gene; mutations in LPS synthesis genes including wboB, wa-1326, manB OAg, manC OAg, wbkA, wzm, wzt, wbkD, pgm, manCcore, wa****"
PMC9991488,full_text,Bruvax,False,Brucella abortus,Bovine (cattle and buffalo),"Bovine (cows and buffalo in Punjab, India)",Subcutaneous administration,Indian Immunologicals,,licensed,,,"Live attenuated S19 vaccine, 10^9 colony-forming units (CFUs)",
PMC229562,full_text,,False,Brucella suis,swine,,,,,,,,,
PMC98513,full_text,Brucella abortus vaccine strain RB51,False,Brucella abortus,,,,,,,,"O polysaccharides (OPS), wboA gene product (glycosyltransferase)",,wboA
PMC269426,full_text,,False,Brucella ovis,ram,,,,,research,,"outer membrane proteins, lipopolysaccharide",,
PMC5367834,full_text,Brucella abortus S19 and Brucella melitensis Rev 1 vaccines (suggested for control),False,"Brucella abortus, Brucella melitensis","Cattle, small ruminants (sheep and goats)",,,,,,,,,
PMC10599192,full_text,Brucella abortus 104M,False,Brucella abortus,human,"Galleria mellonella larvae, mouse (BALB/c)","subcutaneous injection (mouse), scratch inoculation (human)",Lanzhou Institute of Biological Products,stored at −80°C in tryptone soya broth containing 15% glycerol,licensed,Approved by Chinese Food and Drug Administration,Omp19 (outer membrane protein 19),live attenuated,"Omp19 (wild-type, deletion mutant 104MΔ Omp19, overexpression mutant 104M: Omp19)"
PMC5702218,full_text,Brucella S19 vaccine,False,Brucella abortus,cattle (heifers),,,,,licensed,,,,
PMC7159503,full_text,Strain 19,False,Brucella abortus,Cattle,,,,,,,,,
PMC4602199,full_text,,False,Brucella spp.,"domestic and wild animals (sheep, cattle, swine, dogs, camels, desert woodrats), humans (secondary host)","mice, goats, HeLa cells, THP1 cells, J774 cells, dendritic cells, murine bone marrow-derived macrophages, primary human monocytes",,,,research,,"Type IV secretion system (T4SS) components and effectors (e.g., VirB proteins, VceA, VceC, RicA, BtpA, BtpB, BspA, BspB, BspC, BspE, BspF, SepA, BPE005, BPE043, BPE123, BPE275)",,"virB operon (virB1–12), vceA, vceC, ricA, btpA, btpB, bspA, bspB, bspC, bspE, bspF, sepA, bpe005, bpe043, bpe123, bpe275"
PMC378015,full_text,Brucella abortus Strain 19,False,Brucella abortus,,,,,,,,,,
PMC259354,full_text,Strain-19,False,Brucella abortus,cattle,cattle,,,,licensed,,outer membrane lipoprotein,,
PMC2168365,full_text,,False,"Brucella suis, Brucella abortus",human,,,,,research,,rough Brucella mutants (attenuated strains lacking O-side chain of LPS),,
PMC7130515,full_text,Prenatal E. coli Vaccine for Bovine Fetuses,True,Escherichia coli,Bovine (cattle),Bovine fetus,Oral (via amniotic fluid),,,research,,Killed Escherichia coli,Killed bacterial antigen,
PMC2729395,full_text,Brucella abortus strain RB51,False,Brucella abortus,Cattle,"Mouse (BALB/c), murine macrophage cell line RAW264.7, bone marrow-derived macrophages",Intraperitoneal injection (i.p.),,,licensed,Used as the official Brucella cattle vaccine in the US since 1996,Live attenuated rough Brucella abortus strain RB51 (deficient in LPS O antigen due to wboA mutation),Live attenuated bacterial vaccine,"wboA (mutation), rpoB (additional mutation)"
PMC12822122,full_text,,False,Brucella melitensis,Human,,,,,,,,,
PMC5107254,full_text,B. suis strain 2,False,"Brucella spp. (including Brucella abortus, Brucella melitensis, Brucella suis, Brucella neotomae, Brucella ovis, Brucella canis)",sheep/cattle,,,,,,,,,
PMC6932235,full_text,,False,Brucella abortus,humans and animals,mice (C57BL/6 and C57BL/6 Nramp1+/+),,,,research,,EmfA protein (cation diffusion facilitator family protein),,bab_rs23470
PMC258969,full_text,Brucella abortus S19,False,Brucella abortus,cattle,"macrophagelike cell line J774, HeLa cells",,"U.S. Department of Agriculture, Agricultural Research Service",,licensed,United States,BCSP31 (31-kDa salt-extractable immunogenic protein),attenuated live strain,BCSP31 gene (deleted and replaced with marker gene encoding resistance to kanamycin and neomycin)
PMC313293,full_text,,False,"Brucella ovis, Brucella melitensis",sheep,,,,,research,,"proteins extracted by hot saline (HS) and proteins released in outer membrane blebs (groups: 43 kDa, group A (25.5-32.0 kDa), group B (21.5-22.5 kDa), group C (18.0-19.5 kDa), group D (13.0-15.5 kDa))",subcellular vaccine (HS extracts and outer membrane blebs),
PMC9759224,full_text,,False,Brucella melitensis,"human, bovine, camel, sheep, goat",,,,,,,Outer Membrane Protein 31 (Omp31),,Omp31
PMC174288,full_text,,False,Brucella melitensis,,Escherichia coli (recombinant expression),,,,research,,Omp31 (major outer membrane protein),subcellular vaccine (recombinant Omp31 protein),omp31
PMC5924997,full_text,Brucella abortus RB51,False,Brucella abortus,Cattle,Mouse,Live attenuated injection,,,licensed,,Live attenuated Brucella abortus RB51 strain,Live attenuated bacterial vaccine,
PMC3212899,full_text,Brucella abortus strain 19 (S19) vaccine,False,Brucella abortus,Cattle,,,,,,,,,
PMC7247241,full_text,B. melitensis Rev1,False,Brucella melitensis,small ruminants,,,,,licensed,International Epizootic Office (OIE) guidelines,,,
PMC9680554,full_text,MT3-Omp19 (MO) and MT3-Hc (MH) fusion protein vaccines,False,"Brucella abortus (Omp19 antigen), Clostridium tetani (tetanus neurotoxin Hc fragment)",Human,Mouse (BALB/c),Intramuscular injection,,,research,,"Omp19 (outer membrane protein 19 of Brucella abortus), Hc (C fragment heavy chain of tetanus neurotoxin)","Recombinant fusion protein (MT3-Omp19 or MT3-Hc) expressed in E. coli, purified by affinity and ion-exchange chromatography, endotoxin removed","MT3 (human metallothionein 3), Omp19 (Brucella abortus), Hc (C fragment heavy chain of tetanus neurotoxin)"
PMC4409723,full_text,Rev-1,False,Brucella melitensis,"sheep, goats",,,,,licensed,,,live attenuated,
PMC4537563,full_text,Brucella abortus strain 19,False,Brucella abortus,cattle (bovine),,injection,,,licensed,Argentine National Bovine Brucellosis Control Program,,,
PMC10101637,full_text,FMDV vaccine,False,Foot and Mouth Disease Virus (FMDV),goat,,,,,,,,,
PMC271991,full_text,,False,Brucella abortus,cow,,,,,,,,,
PMC202726,full_text,,False,"Vibrio cholerae O1 (biotype El Tor, serotype Inaba)",Human,,,,,,,"Vibriocidal antibody, enterotoxin of V. cholerae O1",,
PMC7320521,full_text,,False,Brucella species,"livestock (cattle, sheep, goats, camels)",,,,,,,,,
PMC2566117,full_text,"S19, RB51, and Rev.1",False,Brucella species,,,,,,,,,,
PMC6626157,full_text,Rev. 1,False,Brucella melitensis,Camel (Camelus dromedarius),,,,,research,,Brucella melitensis Rev. 1 strain,,
PMC7131246,full_text,,False,"Brucella abortus, Leptospira spp., Clostridium spp., Infectious bovine rhinotracheitis virus, Bovine viral diarrhea virus, Parainfluenza-3 virus, Escherichia coli, Pasteurella spp.",Bos taurus (cattle),Bos taurus (calves),,,,research,,,,
PMC5955181,full_text,Bm-wadC mutant Brucella vaccine,True,Brucella melitensis,human,mouse (C57BL/6J),intraperitoneal injection,,kept at −80°C until use,research,,Bm-wadC mutant Brucella (live attenuated strain with defective LPS core),live attenuated bacterial strain,wadC gene deletion
PMC1409200,full_text,Brucella abortus S19 vaccine,False,Brucella abortus,Bovine,Bovine,,,,licensed,,Soluble antigens of Brucella abortus S19,,
PMC98869,full_text,,False,Brucella abortus,humans and animals,macrophage,,,,research,,,,"['initiation factor-1', 'tRNA ribotransferase', 'organic hydroperoxidase resistance', 'lactoglyglutathione lyase', 'formamidopyrimidine-DNA glycosylase', 'K+ transport', 'xerD', 'deoxyxylulose 5′ phosphate synthase', 'iron binding protein', 'rhizopine catabolism']"
PMC259615,full_text,Brucella abortus 19 vaccine,False,Brucella abortus,cattle,bovine,,,,licensed,,extracted proteins from gamma-irradiated Brucella abortus 19,"proteins extracted with sodium dodecyl sulfate buffer, separated by SDS-PAGE, blotted onto nitrocellulose",
PMC4186055,full_text,U-Omp16 oral adjuvant vaccine,True,Brucella abortus,mouse,Balb/c mice,oral,,,research,,unlipidated Omp16 (U-Omp16) outer membrane protein,U-Omp16 protein co-administered with cow’s milk proteins,Omp16
PMC148853,full_text,"Brucella abortus S19, Brucella abortus RB51, Brucella melitensis Rev.1",False,"Brucella abortus, Brucella melitensis",,mouse,,,,,,"VirB5, VirB8",,virB operon
PMC207542,full_text,,False,Brucella ovis,sheep,Escherichia coli,,,,research,,"DnaK (heat shock protein, hsp70)",Recombinant protein expressed in E. coli,dnaK
PMC414692,full_text,,False,"Leptospira biflexa, Brucella abortus",cattle,Zebu cattle,"intravenous (Leptospira biflexa), subcutaneous (Brucella abortus)",,,research,,"Leptospira biflexa, attenuated Brucella abortus",,
PMC173454,full_text,Brucella melitensis delta purE201,False,Brucella melitensis,human,,,,,research,,,live attenuated,purE
PMC173059,full_text,,False,"Brucella abortus, Listeria monocytogenes",,in vitro-cultured macrophages,,,,research,,,live and heat-killed bacteria,
PMC5789554,full_text,,False,Brucella bacteria,domestic animals,,,,,,,,,
PMC257008,full_text,,False,Human immunodeficiency virus type 1,Human,"Mouse, Rabbit",,,,research,,Human immunodeficiency virus type 1 proteins conjugated to Brucella abortus lipopolysaccharide (LPS),Brucella abortus lipopolysaccharide (LPS) as carrier conjugated to HIV-1 proteins,
PMC422248,full_text,Brucella abortus S-19,False,Brucella abortus,,,,,,licensed,,soluble antigens from attenuated strain S-19,,
PMC3487705,full_text,,False,Brucella,human,,,,,research,,,,
PMC535235,full_text,Brucella abortus RB51,False,Brucella spp.,,,,,,,,,,rpoB
PMC257129,full_text,,False,Brucella species,bovine,bovine,,,,research,,Sodium dodecyl sulfate- and salt-extracted antigens (common proteins among Brucella species),subunit,
PMC7092811,full_text,,False,"Brucella abortus, Peste des petits ruminants virus (PPRV), Bluetongue virus (BTV)",Camelus dromedarius (dromedary camel),,,,,research,,"Brucella spp. lipopolysaccharide, PPRV nucleoprotein, BTV VP7 protein",,"Brucella bcsp31 and IS711 genes, PPRV nucleoprotein (NP) gene, BTV serotype-specific genes"
PMC5405423,full_text,BLS-FliC131,False,Salmonella,,TLR5-deficient animals,,,,research,,flagellin from Salmonella,chimeric protein fusion of flagellin and Brucella lumazine synthase (BLS),
PMC2931440,full_text,,False,Brucella spp.,sheep and goats,,,,,research,,,,
PMC267019,full_text,,False,"Brucella (B. abortus, Brucella melitensis)",,,,,,,,"Brucella lipopolysaccharide (LPS) epitopes (A, M, C, C/Y)",,
PMC4880035,full_text,,False,Brucella spp.,"Humans, cattle, sheep, goats",,,,,,,,,
PMC6295791,full_text,Brucella abortus S19 vaccine,False,Brucella abortus,Cattle,,Injection,,,,,Live attenuated Brucella abortus S19 strain,Live attenuated bacterial vaccine,
PMC2168268,full_text,,False,Brucella suis,human,human macrophages,,,,research,,,,Four genes of Brucella suis necessary for resistance to γ9δ2 T cells (specific gene names not provided)
PMC3522698,full_text,Brucella abortus S19,False,Brucella abortus,cattle,"mouse, ruminants",,,,licensed,,,live attenuated,"eryABCD operon (erythritol catabolism genes, deletion in eryC and eryD in S19 strain)"
PMC174035,full_text,,False,Brucella ovis,sheep,"Escherichia coli (expression system), Brucella spp.",,,,research,,25-kDa outer membrane protein (Omp25),,omp25
PMC9838441,full_text,,False,Brucella abortus,human,Escherichia coli (expression system),oral (M cell targeting strategy),,,research,,B. abortus Hsp60 protein,"recombinant peptides derived from human prion protein (PrP125, PrP174, PrP180) fused to GST tag, expressed in E. coli","hsp60 (B. abortus), prp125, prp174, prp180 (human prion protein fragments)"
PMC1415073,full_text,Recombinant L7/L12 ribosomal protein and gamma-irradiated Brucella abortus vaccine,True,Brucella abortus,Mouse,BALB/c mouse,,,,research,,L7/L12 ribosomal protein,Recombinant protein and gamma-irradiated whole bacteria,
PMC11835317,full_text,,False,Brucella spp.,Human,,,,,,,,,
PMC313765,full_text,,False,"Brucella abortus, Brucella melitensis",,mouse,"immunization with SDS-insoluble fractions, cell walls, or whole bacterial cells",,,research,,"outer membrane proteins (OMPs) with molecular masses of 10, 16.5, 19, 25-27, 31-34, 36-38, and 89 kDa","SDS-insoluble fractions, cell walls, or whole bacterial cells",
PMC4512078,full_text,Brucella abortus strain 19 (S19) and RB51,False,Brucella abortus,cattle,"guinea-pigs, mice",,"United States Department of Agriculture (USDA) for S19, Virginia Tech for RB51",-80°C frozen storage,licensed,,,live attenuated bacterial vaccine,
PMC4097617,full_text,RB51,False,Brucella abortus,,"BALB/c mice, RAW264.7 cells, HeLa cells",,,,,,"O-antigen (disrupted export system), acid shock protein 24 (asp24)",,"rfbE, rfbD, wboA, asp24"
PMC261440,full_text,,False,Brucella abortus,cattle,,,,,research,,outer membrane proteins (porins and group 3 proteins),,
PMC4519723,full_text,,False,Brucella spp.,,,,,,research,,"C epitope of Brucella O-polysaccharide (O-PS), capping perosamine tetrasaccharide, pentasaccharide antigenic determinant",synthetic oligosaccharide glycoconjugates,
PMC5836127,full_text,,False,Brucella abortus,,murine macrophages,,,,,,,,
PMC279123,full_text,Nonviable Histoplasma capsulatum mycelial phase vaccine,True,Mycobacterium tuberculosis,Human,"Animal (likely mice or guinea pigs, not specified)",Injection,,,research,,Nonviable Histoplasma capsulatum (mycelial phase),Nonviable whole-cell preparation,
PMC2870095,full_text,,False,Brucella spp.,Small ruminants,,,,,,,,,
PMC303250,full_text,,False,Brucella abortus,Bovine,Bovine peripheral blood mononuclear cells,,,,research,,L7/L12 ribosomal protein,Recombinant fusion protein purified by affinity chromatography,L7/L12 ribosomal gene
PMC260654,full_text,,False,"Pasteurella multocida, Brucella abortus",,,,,,research,,Lipopolysaccharide (LPS) from Pasteurella multocida or Brucella abortus complexed with Aspergillus fumigatus ribosomes,LPS-ribosome complex fixed with 3.8% formaldehyde,
PMC173554,full_text,B. melitensis Rev.1,False,Brucella melitensis,,,,,,,,"outer membrane proteins (OMPs), lipopolysaccharide (LPS) epitopes",,
PMC4111879,full_text,"Rev. 1 vaccine (small ruminants), S19 vaccine (cattle and yaks)",False,"Brucella spp. (Brucella melitensis, Brucella abortus)","sheep, goats, cattle, yaks",,mass vaccination,,cold chain (not assessed during mass vaccination period),licensed,,,,
PMC4674226,full_text,Brucella melitensis Rev. 1,False,Brucella melitensis,small ruminants (sheep and goats),,,,,licensed,,,live attenuated,
PMC7871156,full_text,,False,"Brucella melitensis, Brucella abortus","Livestock (cattle, sheep, goats)",,,,,,,,,
PMC1142170,full_text,Brucella ovis subcellular protein fraction vaccine (OMP and IMP),True,Brucella ovis,Sheep,Mouse (Balb/c),"Injection (inoculation, unspecified route)",,,research,,"Outer membrane proteins (OMP), Inner membrane proteins (IMP)","Subcellular protein fractions (OMP, IMP, CP)",
PMC7664790,full_text,,False,Brucella spp.,Humans,,,,,,,,,
PMC2931441,full_text,,False,Brucella spp.,sheep and goats,,,,,,,,,
PMC3703917,full_text,U-Omp16 mucosal adjuvant vaccine (with OVA or Cow's Milk Protein),True,,mouse,C57BL/6 and BALB/c mice,intranasal,,,research,,Ovalbumin (OVA) or Cow's Milk Protein (CMP),Recombinant unlipidated outer membrane protein 16 kDa (U-Omp16) from Brucella abortus co-administered with antigen (OVA or CMP),omp16 (Brucella abortus outer membrane protein 16 kDa gene)
PMC280757,full_text,TNP-LPS-BA,False,Brucella abortus,mouse,"BALB/c, athymic BALB/c nu/nu, CBA/N, C3H/HeJ mice",immunization,,,research,,lipopolysaccharide from Brucella abortus (LPS-BA) conjugated with trinitrophenyl (TNP),TNP-conjugated LPS-BA,
PMC9684011,full_text,,False,Brucella spp. (including B. melitensis),goats,,,,,,,,,
PMC3415613,full_text,,False,"Brucella abortus, Brucella melitensis, Brucella ovis","cattle, sheep, goats",,,,,,,,,
PMC1459638,full_text,,False,Brucella abortus,Bovine,,,,,,,lipopolysaccharide or other stable antigens,,
PMC8451350,full_text,,False,Brucella spp.,"Livestock (cattle, sheep, goats)",,,,,,,,,
PMC4422536,full_text,Brucellaphage-based vaccine (Tb phage),True,Brucella abortus,Cattle,B. abortus strain 141 and S19,Phage lysate applied to bacterial lawns (in vitro); not specified for in vivo,Eliava Institute,"Phage suspended in SSC buffer (0.15 mM NaCl, 0.015 mM Na citrate, pH 7.0), stored at 4°C",research,,"Brucellaphage virion proteins (including tail collar protein, structural proteins, HNH endonuclease)",Highly concentrated phage preparations purified by gradient centrifugation,"Genes encoding tail collar protein (ORF 27), structural protein (ORF 21), HNH endonuclease (ORF 8), and other phage proteins"
PMC257246,full_text,Brucella abortus S19 Cu-Zn superoxide dismutase deletion mutant,True,Brucella abortus,Cattle,Mouse (BALB/c),Intraperitoneal injection,"National Animal Disease Center, U.S. Department of Agriculture",,research,,Cu-Zn superoxide dismutase (SOD),Live attenuated bacterial mutant,Cu-Zn sod (deleted)
PMC6010161,full_text,,False,Brucella spp.,human,,,,,,,,,
PMC4431812,full_text,BLS and BLS-OVA,False,,"mouse (C57BL/6J, C57BL/10ScNJ)","mouse (C57BL/6J, C57BL/10ScNJ)",subcutaneous injection,,frozen in liquid N2 and stored at −20°C,research,,Lumazine Synthase from Brucella abortus (BLS); BLS-OVA (BLS protein decorated with 10 copies of OVA 257-264 peptide),"purified recombinant protein, detoxified with polymyxin B-agarose, in PBS",BLS gene cloned into pET11a vector; BLS-OVA generated by inserting OVA 257-264 coding sequence at N terminus of BLS in pET11a
PMC7192967,full_text,,False,"Yersinia pestis, Brucella spp., Bacillus anthracis",,"BALB/c mice, goats",,"Reference Materials for the Bacterial Content of Plague Vaccine, Brucellosis Vaccine, and Anthrax Vaccine from NIFDC, China",,,,Y. pestis: F1 antigen; Brucella spp.: whole inactivated bacterial cells; B. anthracis: whole inactivated bacterial cells,,"Y. pestis: caf1, caf1A, caf1M, caf1R"
PMC173364,full_text,,False,Brucella abortus,human,,in vitro stimulation with heat-inactivated Brucella abortus,,,research,,heat-inactivated Brucella abortus or lipopolysaccharide from Brucella abortus,heat-inactivated whole bacteria or purified lipopolysaccharide,
PMC3842122,full_text,Brucella abortus strain RB51,False,Brucella abortus,cattle,"mouse (C57BL/6), murine macrophages (RAW264.7), bone marrow derived macrophages (BMDMs)",,"Developed by Dr. G. Schurig, Virginia Polytechnic Institute and State University",,licensed,,"Brucella abortus strain RB51 (live attenuated rough mutant, deficient O antigen on LPS)",Live attenuated bacterial vaccine,"wboA (mutation responsible for rough phenotype, glycosyltransferase required for O-side chain synthesis); additional mutations also exist"
PMC10382562,full_text,,False,"Brucella spp., Leptospira spp., Listeria monocytogenes, Coxiella burnetii","cattle, sheep, goats",,,,,,,,,Brucella spp.: IS711; Coxiella burnetii: IS1111; Leptospira spp.: LiPL32; Listeria monocytogenes: ssrA
PMC12506304,full_text,,False,Brucella species,"cattle, sheep, goats",,,,,,,,,
PMC3191122,full_text,Brucellosis vaccine (for cattle and small ruminants),True,Brucella abortus,"Cattle, small ruminants","Cattle, small ruminants",Herd-level vaccination,,,licensed,,,,
PMC97027,full_text,Heat-killed Brucella abortus vaccine,False,Brucella abortus,,mouse (murine),,,,research,,"Heat-killed Brucella abortus, Brucella abortus DNA, Brucella abortus LPS","Heat-inactivated bacteria, DNA, or LPS",
PMC2869603,full_text,,False,Brucella spp.,Human,,,,,,,,,
PMC7688874,full_text,,False,Brucella spp.,Bovine (cows),,,,,,,,,
PMC1656543,full_text,,False,Brucella spp.,Human,,,,,,,,,
PMC258772,full_text,,False,"Brucella abortus, bacterial polysaccharides (modeled with TNP-LPS, TNP-Ficoll, TNP-Brucella abortus)",mouse,mouse,intratracheal immunization,,,research,,"TNP-LPS, TNP-Brucella abortus, TNP-Ficoll","TI-1 and TI-2 antigens, with or without unconjugated B. abortus",
PMC2691052,full_text,,False,Brucella,Human,,,,,,,,,
